PO_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity_Ordered,Quantity_Received,Unit_Cost,Total_Cost,Status,On_Time
PO00234,PRD0025,SUP016,WH002,2025-08-14,2025-08-16,,395,0,996.98,393807.1,In Transit,No
PO00235,PRD0076,SUP021,WH008,2025-11-11,2025-11-16,2025-11-22,415,415,1480.66,614473.9,Delivered,No
PO00236,PRD0094,SUP009,WH005,2025-11-04,2025-11-26,2025-11-23,230,230,2127.86,489407.8,Delivered,Yes
PO00237,PRD0043,SUP010,WH002,2025-09-12,2025-09-15,2025-09-24,175,175,1744.63,305310.25,Delivered,No
PO00238,PRD0082,SUP002,WH008,2025-11-17,2025-11-27,,430,0,1332.12,572811.6,Cancelled,No
PO00239,PRD0012,SUP002,WH006,2026-02-16,2026-03-09,2026-03-07,59,59,124.51,7346.09,Delivered,Yes
PO00240,PRD0092,SUP017,WH004,2026-02-07,2026-03-07,,461,0,2903.22,1338384.42,Cancelled,No
PO00241,PRD0010,SUP022,WH006,2025-05-19,2025-06-15,2025-06-19,485,485,1036.03,502474.55,Delivered,No
PO00242,PRD0018,SUP030,WH002,2025-11-26,2025-12-08,,63,0,1556.92,98085.96,Cancelled,No
PO00243,PRD0001,SUP005,WH006,2025-08-17,2025-08-22,2025-08-29,355,355,738.45,262149.75,Delivered,No
PO00244,PRD0066,SUP020,WH001,2025-12-05,2025-12-12,2025-12-19,227,227,2272.03,515750.81,Delivered,No
PO00245,PRD0100,SUP016,WH008,2025-08-03,2025-08-15,,463,0,1632.62,755903.06,Cancelled,No
PO00246,PRD0096,SUP020,WH003,2025-10-08,2025-10-29,2025-11-05,63,63,610.31,38449.53,Delivered,No
PO00247,PRD0040,SUP010,WH008,2026-01-23,2026-02-06,,16,0,1520.0,24320.0,Cancelled,No
PO00248,PRD0094,SUP007,WH006,2025-10-01,2025-10-23,,288,0,2127.86,612823.68,In Transit,No
PO00249,PRD0097,SUP020,WH005,2026-02-12,2026-03-13,,444,0,837.49,371845.56,Pending,No
PO00250,PRD0089,SUP012,WH001,2025-09-19,2025-10-12,,33,0,1421.88,46922.04,Cancelled,No
PO00251,PRD0057,SUP026,WH001,2025-12-06,2025-12-12,,257,0,2681.04,689027.28,Cancelled,No
PO00252,PRD0028,SUP030,WH006,2025-07-27,2025-08-06,,229,0,2119.03,485257.87,Pending,No
PO00253,PRD0002,SUP021,WH005,2025-09-22,2025-10-01,,437,0,2900.83,1267662.71,Pending,No
PO00254,PRD0079,SUP002,WH002,2025-10-31,2025-11-08,,393,0,1909.7,750512.1,Cancelled,No
PO00255,PRD0020,SUP004,WH003,2025-10-05,2025-11-04,2025-11-08,392,392,1027.3,402701.6,Delivered,No
PO00256,PRD0088,SUP015,WH005,2025-11-09,2025-11-18,,37,0,2801.65,103661.05,In Transit,No
PO00257,PRD0099,SUP001,WH002,2025-12-11,2026-01-08,2026-01-13,419,419,381.78,159965.82,Delivered,No
PO00258,PRD0023,SUP013,WH008,2025-10-01,2025-10-22,,126,0,49.91,6288.66,Pending,No
PO00259,PRD0004,SUP022,WH001,2025-04-26,2025-05-01,2025-05-02,64,64,449.26,28752.64,Delivered,No
PO00260,PRD0033,SUP005,WH006,2025-10-24,2025-11-06,,354,0,1454.58,514921.32,Cancelled,No
PO00261,PRD0032,SUP001,WH005,2025-12-23,2026-01-14,2026-01-21,449,449,936.72,420587.28,Delivered,No
PO00262,PRD0060,SUP004,WH004,2025-09-27,2025-10-27,2025-11-03,155,155,1205.03,186779.65,Delivered,No
PO00263,PRD0020,SUP020,WH007,2025-11-18,2025-12-18,,166,0,1027.3,170531.8,In Transit,No
PO00264,PRD0077,SUP013,WH004,2025-12-25,2026-01-02,,133,0,116.88,15545.04,In Transit,No
PO00265,PRD0092,SUP014,WH003,2025-03-31,2025-04-28,2025-04-29,369,369,2903.22,1071288.18,Delivered,No
PO00266,PRD0084,SUP002,WH001,2025-07-14,2025-07-16,2025-07-18,345,345,2807.14,968463.3,Delivered,No
PO00267,PRD0018,SUP009,WH001,2025-12-31,2026-01-12,,448,0,1556.92,697500.16,Cancelled,No
PO00268,PRD0093,SUP019,WH006,2025-04-25,2025-04-29,,250,0,1516.4,379100.0,Pending,No
PO00269,PRD0002,SUP014,WH006,2025-09-30,2025-10-09,2025-10-12,398,398,2900.83,1154530.34,Delivered,No
PO00270,PRD0010,SUP001,WH001,2025-12-09,2026-01-05,,254,0,1036.03,263151.62,Pending,No
PO00271,PRD0055,SUP012,WH001,2025-04-08,2025-04-15,2025-04-13,350,350,1387.13,485495.5,Delivered,Yes
PO00272,PRD0023,SUP017,WH005,2025-10-15,2025-11-05,,267,0,49.91,13325.97,In Transit,No
PO00273,PRD0017,SUP027,WH008,2025-05-14,2025-05-29,2025-05-28,438,438,1123.59,492132.42,Delivered,Yes
PO00274,PRD0036,SUP007,WH006,2025-08-12,2025-09-05,2025-09-15,133,133,57.3,7620.9,Delivered,No
PO00275,PRD0086,SUP003,WH001,2025-11-19,2025-12-01,2025-12-08,424,424,572.8,242867.2,Delivered,No
PO00276,PRD0030,SUP013,WH005,2025-05-06,2025-05-18,,257,0,2713.26,697307.82,Cancelled,No
PO00277,PRD0043,SUP026,WH004,2025-05-03,2025-05-06,2025-05-03,140,140,1744.63,244248.2,Delivered,Yes
PO00278,PRD0066,SUP002,WH006,2025-10-03,2025-10-10,2025-10-19,298,298,2272.03,677064.94,Delivered,No
PO00279,PRD0083,SUP004,WH007,2025-04-04,2025-04-15,2025-04-19,19,19,846.03,16074.57,Delivered,No
PO00280,PRD0074,SUP016,WH002,2025-08-03,2025-08-20,2025-08-28,69,69,2168.22,149607.18,Delivered,No
PO00281,PRD0046,SUP001,WH002,2025-07-12,2025-08-07,,177,0,1508.0,266916.0,Pending,No
PO00282,PRD0033,SUP016,WH005,2025-06-21,2025-07-04,,213,0,1454.58,309825.54,Pending,No
PO00283,PRD0031,SUP007,WH001,2025-07-27,2025-08-07,,303,0,1424.24,431544.72,Pending,No
PO00284,PRD0067,SUP011,WH002,2025-05-22,2025-06-06,,239,0,1268.84,303252.76,Cancelled,No
PO00285,PRD0013,SUP020,WH003,2026-01-31,2026-02-01,2026-02-08,19,19,776.86,14760.34,Delivered,No
PO00286,PRD0035,SUP024,WH006,2025-10-08,2025-10-26,,327,0,127.11,41564.97,Cancelled,No
PO00287,PRD0083,SUP011,WH008,2025-12-14,2025-12-25,2025-12-24,299,299,846.03,252962.97,Delivered,Yes
PO00288,PRD0081,SUP016,WH006,2025-10-11,2025-10-20,2025-10-22,380,380,1645.19,625172.2,Delivered,No
PO00289,PRD0015,SUP009,WH002,2025-09-09,2025-09-18,,490,0,2085.39,1021841.1,Cancelled,No
PO00290,PRD0022,SUP008,WH004,2025-12-07,2025-12-08,2025-12-05,316,316,225.82,71359.12,Delivered,Yes
PO00291,PRD0015,SUP030,WH008,2026-03-06,2026-03-15,2026-03-19,481,481,2085.39,1003072.59,Delivered,No
PO00292,PRD0039,SUP012,WH008,2025-08-16,2025-08-20,,88,0,1471.23,129468.24,Pending,No
PO00293,PRD0031,SUP004,WH005,2025-10-26,2025-11-06,,44,0,1424.24,62666.56,Pending,No
PO00294,PRD0068,SUP009,WH006,2025-07-18,2025-08-07,,146,0,971.53,141843.38,Pending,No
PO00295,PRD0095,SUP007,WH008,2025-10-21,2025-10-30,,383,0,16.55,6338.65,In Transit,No
PO00296,PRD0034,SUP009,WH001,2025-12-17,2025-12-18,2025-12-21,213,213,536.19,114208.47,Delivered,No
PO00297,PRD0090,SUP004,WH007,2025-03-15,2025-04-02,,35,0,739.72,25890.2,Pending,No
PO00298,PRD0001,SUP010,WH002,2025-11-30,2025-12-05,,494,0,738.45,364794.3,In Transit,No
PO00299,PRD0036,SUP004,WH007,2026-02-26,2026-03-22,2026-03-30,459,459,57.3,26300.7,Delivered,No
PO00300,PRD0006,SUP005,WH004,2025-05-27,2025-06-14,,320,0,743.32,237862.4,Pending,No
PO00301,PRD0091,SUP029,WH005,2025-06-22,2025-06-27,,466,0,2899.75,1351283.5,Cancelled,No
PO00302,PRD0092,SUP007,WH008,2025-05-14,2025-06-11,2025-06-12,49,49,2903.22,142257.78,Delivered,No
PO00303,PRD0066,SUP011,WH007,2025-08-28,2025-09-04,,491,0,2272.03,1115566.73,In Transit,No
PO00304,PRD0041,SUP001,WH003,2025-12-06,2025-12-24,,58,0,1652.87,95866.46,Cancelled,No
PO00305,PRD0041,SUP003,WH006,2025-09-15,2025-10-03,2025-10-09,187,187,1652.87,309086.69,Delivered,No
PO00306,PRD0057,SUP002,WH008,2025-08-23,2025-08-29,2025-08-26,425,425,2681.04,1139442.0,Delivered,Yes
PO00307,PRD0001,SUP017,WH007,2026-01-08,2026-01-13,,379,0,738.45,279872.55,Cancelled,No
PO00308,PRD0035,SUP026,WH002,2025-11-13,2025-12-01,,482,0,127.11,61267.02,Cancelled,No
PO00309,PRD0085,SUP030,WH008,2025-06-14,2025-07-09,,434,0,2122.87,921325.58,Cancelled,No
PO00310,PRD0061,SUP010,WH005,2025-03-12,2025-03-19,,100,0,1126.5,112650.0,In Transit,No
PO00311,PRD0071,SUP020,WH007,2025-09-24,2025-10-23,,259,0,2137.24,553545.16,Cancelled,No
PO00312,PRD0028,SUP005,WH007,2026-03-02,2026-03-12,,340,0,2119.03,720470.2,Pending,No
PO00313,PRD0035,SUP008,WH007,2025-10-26,2025-11-13,,23,0,127.11,2923.53,Pending,No
PO00314,PRD0057,SUP006,WH002,2025-04-20,2025-04-26,,282,0,2681.04,756053.28,Pending,No
PO00315,PRD0095,SUP005,WH003,2025-03-12,2025-03-21,,391,0,16.55,6471.05,Cancelled,No
PO00316,PRD0096,SUP013,WH002,2025-03-14,2025-04-04,,37,0,610.31,22581.47,Cancelled,No
PO00317,PRD0011,SUP016,WH001,2026-01-21,2026-02-19,,267,0,323.44,86358.48,In Transit,No
PO00318,PRD0084,SUP005,WH001,2025-07-18,2025-07-20,2025-07-18,400,400,2807.14,1122856.0,Delivered,Yes
PO00319,PRD0084,SUP026,WH002,2025-11-02,2025-11-04,2025-11-03,351,351,2807.14,985306.14,Delivered,Yes
PO00320,PRD0048,SUP011,WH007,2025-11-11,2025-11-24,2025-11-28,489,489,2618.68,1280534.52,Delivered,No
PO00321,PRD0067,SUP024,WH002,2025-11-15,2025-11-30,,180,0,1268.84,228391.2,Pending,No
PO00322,PRD0069,SUP023,WH008,2026-02-22,2026-03-23,,81,0,779.99,63179.19,Pending,No
PO00323,PRD0045,SUP003,WH008,2025-04-30,2025-05-24,,86,0,1391.77,119692.22,Pending,No
PO00324,PRD0008,SUP017,WH004,2025-03-14,2025-04-10,2025-04-10,133,133,2355.62,313297.46,Delivered,Yes
PO00325,PRD0090,SUP022,WH001,2025-12-12,2025-12-30,2025-12-29,178,178,739.72,131670.16,Delivered,Yes
PO00326,PRD0013,SUP012,WH003,2025-05-10,2025-05-11,,258,0,776.86,200429.88,In Transit,No
PO00327,PRD0005,SUP004,WH001,2026-02-12,2026-03-06,,80,0,1252.62,100209.6,In Transit,No
PO00328,PRD0073,SUP027,WH002,2026-03-08,2026-03-17,2026-03-14,432,432,982.26,424336.32,Delivered,Yes
PO00329,PRD0011,SUP029,WH003,2025-04-03,2025-05-02,,372,0,323.44,120319.68,Cancelled,No
PO00330,PRD0020,SUP015,WH004,2026-02-26,2026-03-28,2026-04-02,445,445,1027.3,457148.5,Delivered,No
PO00331,PRD0033,SUP012,WH003,2025-06-27,2025-07-10,2025-07-19,466,466,1454.58,677834.28,Delivered,No
PO00332,PRD0073,SUP017,WH005,2025-12-12,2025-12-21,,73,0,982.26,71704.98,In Transit,No
PO00333,PRD0059,SUP001,WH005,2025-11-08,2025-12-06,,99,0,1855.66,183710.34,In Transit,No
PO00334,PRD0049,SUP019,WH002,2025-03-29,2025-04-07,,245,0,1141.55,279679.75,Cancelled,No
PO00335,PRD0028,SUP015,WH007,2025-03-21,2025-03-31,,69,0,2119.03,146213.07,Cancelled,No
PO00336,PRD0024,SUP008,WH008,2026-02-24,2026-03-14,2026-03-12,107,107,1188.96,127218.72,Delivered,Yes
PO00337,PRD0040,SUP022,WH007,2025-03-18,2025-04-01,2025-04-10,99,99,1520.0,150480.0,Delivered,No
PO00338,PRD0066,SUP007,WH007,2025-07-20,2025-07-27,,344,0,2272.03,781578.32,In Transit,No
PO00339,PRD0094,SUP029,WH006,2025-09-09,2025-10-01,,263,0,2127.86,559627.18,Cancelled,No
PO00340,PRD0015,SUP027,WH001,2025-05-08,2025-05-17,2025-05-16,113,113,2085.39,235649.07,Delivered,Yes
PO00341,PRD0065,SUP002,WH002,2025-03-17,2025-03-24,2025-03-31,261,261,2751.46,718131.06,Delivered,No
PO00342,PRD0046,SUP028,WH006,2025-06-15,2025-07-11,2025-07-19,260,260,1508.0,392080.0,Delivered,No
PO00343,PRD0002,SUP008,WH005,2025-05-02,2025-05-11,2025-05-10,474,474,2900.83,1374993.42,Delivered,Yes
PO00344,PRD0078,SUP013,WH006,2025-04-27,2025-04-30,2025-05-07,468,468,2250.79,1053369.72,Delivered,No
PO00345,PRD0097,SUP017,WH008,2025-10-04,2025-11-02,2025-11-10,87,87,837.49,72861.63,Delivered,No
PO00346,PRD0076,SUP024,WH003,2025-07-07,2025-07-12,2025-07-18,139,139,1480.66,205811.74,Delivered,No
PO00347,PRD0011,SUP008,WH002,2025-05-13,2025-06-11,2025-06-08,234,234,323.44,75684.96,Delivered,Yes
PO00348,PRD0011,SUP016,WH008,2025-05-23,2025-06-21,,132,0,323.44,42694.08,Pending,No
PO00349,PRD0063,SUP024,WH005,2025-04-17,2025-05-14,,143,0,2969.08,424578.44,In Transit,No
PO00350,PRD0037,SUP019,WH008,2025-03-28,2025-04-10,2025-04-12,342,342,69.93,23916.06,Delivered,No
PO00351,PRD0006,SUP005,WH001,2026-03-09,2026-03-27,,243,0,743.32,180626.76,Pending,No
PO00352,PRD0058,SUP026,WH004,2025-08-27,2025-09-01,2025-09-07,372,372,1401.08,521201.76,Delivered,No
PO00353,PRD0001,SUP015,WH004,2025-04-12,2025-04-17,,157,0,738.45,115936.65,Pending,No
PO00354,PRD0007,SUP015,WH001,2025-08-28,2025-09-15,2025-09-17,35,35,52.12,1824.2,Delivered,No
PO00355,PRD0021,SUP005,WH005,2025-04-14,2025-04-29,,178,0,2012.98,358310.44,Cancelled,No
PO00356,PRD0054,SUP008,WH007,2025-04-02,2025-05-01,,79,0,1829.56,144535.24,Pending,No
PO00357,PRD0091,SUP003,WH006,2026-01-02,2026-01-07,,443,0,2899.75,1284589.25,Cancelled,No
PO00358,PRD0090,SUP018,WH002,2025-04-13,2025-05-01,2025-05-01,497,497,739.72,367640.84,Delivered,Yes
PO00359,PRD0078,SUP009,WH006,2025-11-18,2025-11-21,,423,0,2250.79,952084.17,Cancelled,No
PO00360,PRD0082,SUP019,WH003,2025-07-19,2025-07-29,2025-08-08,402,402,1332.12,535512.24,Delivered,No
PO00361,PRD0068,SUP013,WH003,2025-09-12,2025-10-02,,196,0,971.53,190419.88,Pending,No
PO00362,PRD0098,SUP004,WH007,2025-12-31,2026-01-20,2026-01-28,444,444,152.7,67798.8,Delivered,No
PO00363,PRD0042,SUP022,WH006,2025-11-01,2025-11-21,,360,0,1556.28,560260.8,Cancelled,No
PO00364,PRD0025,SUP012,WH002,2025-05-28,2025-05-30,,261,0,996.98,260211.78,Pending,No
PO00365,PRD0050,SUP020,WH005,2026-01-26,2026-02-10,,321,0,909.75,292029.75,In Transit,No
PO00366,PRD0087,SUP030,WH005,2025-04-20,2025-05-11,,320,0,513.11,164195.2,Cancelled,No
PO00367,PRD0099,SUP017,WH007,2026-02-11,2026-03-11,2026-03-14,161,161,381.78,61466.58,Delivered,No
PO00368,PRD0034,SUP022,WH006,2025-04-11,2025-04-12,,411,0,536.19,220374.09,Cancelled,No
PO00369,PRD0011,SUP017,WH006,2025-11-01,2025-11-30,2025-12-04,117,117,323.44,37842.48,Delivered,No
PO00370,PRD0009,SUP028,WH004,2025-05-28,2025-05-31,,309,0,2752.7,850584.3,In Transit,No
PO00371,PRD0046,SUP005,WH007,2025-05-01,2025-05-27,2025-05-31,86,86,1508.0,129688.0,Delivered,No
PO00372,PRD0069,SUP015,WH005,2025-10-27,2025-11-25,2025-11-30,379,379,779.99,295616.21,Delivered,No
PO00373,PRD0080,SUP021,WH002,2026-02-09,2026-03-09,,60,0,625.58,37534.8,Cancelled,No
PO00374,PRD0001,SUP010,WH005,2025-03-27,2025-04-01,,358,0,738.45,264365.1,In Transit,No
PO00375,PRD0030,SUP008,WH006,2025-09-06,2025-09-18,2025-09-17,308,308,2713.26,835684.08,Delivered,Yes
PO00376,PRD0055,SUP001,WH005,2025-03-18,2025-03-25,2025-03-23,132,132,1387.13,183101.16,Delivered,Yes
PO00377,PRD0087,SUP013,WH001,2025-11-17,2025-12-08,2025-12-06,62,62,513.11,31812.82,Delivered,Yes
PO00378,PRD0022,SUP019,WH004,2025-12-19,2025-12-20,,464,0,225.82,104780.48,Cancelled,No
PO00379,PRD0071,SUP006,WH008,2026-01-21,2026-02-19,,47,0,2137.24,100450.28,Cancelled,No
PO00380,PRD0097,SUP019,WH005,2025-11-02,2025-12-01,2025-12-08,116,116,837.49,97148.84,Delivered,No
PO00381,PRD0090,SUP014,WH003,2025-07-05,2025-07-23,2025-07-21,25,25,739.72,18493.0,Delivered,Yes
PO00382,PRD0013,SUP021,WH002,2025-07-20,2025-07-21,,178,0,776.86,138281.08,In Transit,No
PO00383,PRD0074,SUP012,WH006,2025-10-20,2025-11-06,2025-11-08,494,494,2168.22,1071100.68,Delivered,No
PO00384,PRD0017,SUP028,WH001,2025-07-17,2025-08-01,,32,0,1123.59,35954.88,Cancelled,No
PO00385,PRD0025,SUP009,WH004,2025-07-11,2025-07-13,2025-07-23,143,143,996.98,142568.14,Delivered,No
PO00386,PRD0055,SUP023,WH008,2025-08-21,2025-08-28,,305,0,1387.13,423074.65,In Transit,No
PO00387,PRD0093,SUP012,WH006,2025-04-10,2025-04-14,2025-04-19,436,436,1516.4,661150.4,Delivered,No
PO00388,PRD0076,SUP009,WH001,2025-10-26,2025-10-31,2025-11-08,384,384,1480.66,568573.44,Delivered,No
PO00389,PRD0042,SUP027,WH004,2025-07-25,2025-08-14,2025-08-13,118,118,1556.28,183641.04,Delivered,Yes
PO00390,PRD0076,SUP015,WH003,2025-10-31,2025-11-05,2025-11-15,383,383,1480.66,567092.78,Delivered,No
PO00391,PRD0080,SUP005,WH008,2026-01-14,2026-02-11,2026-02-10,126,126,625.58,78823.08,Delivered,Yes
PO00392,PRD0019,SUP019,WH001,2025-07-17,2025-07-22,2025-07-19,295,295,2174.08,641353.6,Delivered,Yes
PO00393,PRD0083,SUP015,WH006,2025-04-24,2025-05-05,,412,0,846.03,348564.36,In Transit,No
PO00394,PRD0092,SUP012,WH001,2025-07-21,2025-08-18,2025-08-23,395,395,2903.22,1146771.9,Delivered,No
PO00395,PRD0001,SUP029,WH007,2025-09-18,2025-09-23,2025-10-01,450,450,738.45,332302.5,Delivered,No
PO00396,PRD0078,SUP004,WH005,2025-07-30,2025-08-02,,40,0,2250.79,90031.6,In Transit,No
PO00397,PRD0092,SUP024,WH001,2025-03-22,2025-04-19,,304,0,2903.22,882578.88,Cancelled,No
PO00398,PRD0072,SUP019,WH005,2025-06-19,2025-07-01,2025-07-01,309,309,1925.13,594865.17,Delivered,Yes
PO00399,PRD0042,SUP019,WH003,2025-04-09,2025-04-29,2025-04-29,255,255,1556.28,396851.4,Delivered,Yes
PO00400,PRD0087,SUP009,WH003,2026-02-21,2026-03-14,2026-03-19,190,190,513.11,97490.9,Delivered,No
PO00401,PRD0027,SUP018,WH003,2025-04-11,2025-04-25,,459,0,1718.7,788883.3,Pending,No
PO00402,PRD0035,SUP022,WH005,2025-07-10,2025-07-28,,500,0,127.11,63555.0,In Transit,No
PO00403,PRD0076,SUP002,WH006,2025-12-15,2025-12-20,,115,0,1480.66,170275.9,Pending,No
PO00404,PRD0017,SUP020,WH004,2025-03-26,2025-04-10,,326,0,1123.59,366290.34,In Transit,No
PO00405,PRD0034,SUP012,WH008,2025-12-21,2025-12-22,2025-12-20,125,125,536.19,67023.75,Delivered,Yes
PO00406,PRD0057,SUP011,WH007,2025-10-25,2025-10-31,2025-11-03,427,427,2681.04,1144804.08,Delivered,No
PO00407,PRD0086,SUP021,WH007,2025-05-20,2025-06-01,,293,0,572.8,167830.4,Cancelled,No
PO00408,PRD0040,SUP030,WH004,2025-05-27,2025-06-10,2025-06-09,202,202,1520.0,307040.0,Delivered,Yes
PO00409,PRD0014,SUP009,WH005,2025-05-20,2025-05-25,,37,0,1383.81,51200.97,Cancelled,No
PO00410,PRD0066,SUP021,WH006,2025-09-17,2025-09-24,,13,0,2272.03,29536.39,Pending,No
PO00411,PRD0075,SUP014,WH002,2025-05-20,2025-05-31,,424,0,413.94,175510.56,Pending,No
PO00412,PRD0027,SUP025,WH006,2025-05-25,2025-06-08,,117,0,1718.7,201087.9,Pending,No
PO00413,PRD0012,SUP003,WH006,2025-05-08,2025-05-29,,44,0,124.51,5478.44,In Transit,No
PO00414,PRD0027,SUP023,WH002,2025-03-29,2025-04-12,2025-04-10,329,329,1718.7,565452.3,Delivered,Yes
PO00415,PRD0004,SUP013,WH001,2025-07-30,2025-08-04,2025-08-02,483,483,449.26,216992.58,Delivered,Yes
PO00416,PRD0041,SUP016,WH001,2025-07-13,2025-07-31,,441,0,1652.87,728915.67,In Transit,No
PO00417,PRD0002,SUP027,WH006,2025-07-12,2025-07-21,,164,0,2900.83,475736.12,Pending,No
PO00418,PRD0034,SUP005,WH002,2025-04-30,2025-05-01,2025-05-09,316,316,536.19,169436.04,Delivered,No
PO00419,PRD0019,SUP029,WH007,2025-12-27,2026-01-01,,296,0,2174.08,643527.68,Pending,No
PO00420,PRD0043,SUP014,WH002,2026-02-22,2026-02-25,2026-03-02,11,11,1744.63,19190.93,Delivered,No
PO00421,PRD0007,SUP015,WH004,2025-07-30,2025-08-17,2025-08-21,336,336,52.12,17512.32,Delivered,No
PO00422,PRD0050,SUP027,WH005,2025-05-22,2025-06-06,2025-06-13,234,234,909.75,212881.5,Delivered,No
PO00423,PRD0059,SUP021,WH007,2025-12-27,2026-01-24,,421,0,1855.66,781232.86,Cancelled,No
PO00424,PRD0086,SUP021,WH004,2026-01-29,2026-02-10,2026-02-15,73,73,572.8,41814.4,Delivered,No
PO00425,PRD0088,SUP001,WH004,2026-02-20,2026-03-01,2026-03-01,416,416,2801.65,1165486.4,Delivered,Yes
PO00426,PRD0040,SUP006,WH004,2025-10-23,2025-11-06,2025-11-10,41,41,1520.0,62320.0,Delivered,No
PO00427,PRD0007,SUP027,WH006,2025-05-11,2025-05-29,,138,0,52.12,7192.56,Cancelled,No
PO00428,PRD0013,SUP010,WH002,2026-03-09,2026-03-10,,146,0,776.86,113421.56,Pending,No
PO00429,PRD0056,SUP028,WH001,2025-10-28,2025-11-23,,96,0,1257.83,120751.68,In Transit,No
PO00430,PRD0033,SUP029,WH004,2025-07-21,2025-08-03,2025-08-13,197,197,1454.58,286552.26,Delivered,No
PO00431,PRD0060,SUP019,WH008,2026-01-30,2026-03-01,2026-03-02,25,25,1205.03,30125.75,Delivered,No
PO00432,PRD0072,SUP016,WH006,2025-04-14,2025-04-26,,448,0,1925.13,862458.24,In Transit,No
PO00433,PRD0026,SUP006,WH005,2025-07-30,2025-08-29,,461,0,2873.06,1324480.66,In Transit,No
PO00434,PRD0050,SUP019,WH002,2025-05-20,2025-06-04,2025-06-01,174,174,909.75,158296.5,Delivered,Yes
PO00435,PRD0025,SUP001,WH008,2025-06-03,2025-06-05,2025-06-07,174,174,996.98,173474.52,Delivered,No
PO00436,PRD0100,SUP001,WH006,2025-04-18,2025-04-30,,492,0,1632.62,803249.04,Cancelled,No
PO00437,PRD0091,SUP019,WH005,2025-10-11,2025-10-16,,275,0,2899.75,797431.25,Pending,No
PO00438,PRD0065,SUP002,WH001,2025-07-18,2025-07-25,2025-08-04,114,114,2751.46,313666.44,Delivered,No
PO00439,PRD0083,SUP020,WH002,2025-05-06,2025-05-17,2025-05-22,380,380,846.03,321491.4,Delivered,No
PO00440,PRD0094,SUP012,WH005,2025-12-14,2026-01-05,2026-01-12,73,73,2127.86,155333.78,Delivered,No
PO00441,PRD0088,SUP005,WH003,2025-06-07,2025-06-16,,24,0,2801.65,67239.6,Pending,No
PO00442,PRD0077,SUP020,WH003,2025-03-16,2025-03-24,,294,0,116.88,34362.72,Cancelled,No
PO00443,PRD0012,SUP006,WH002,2025-04-29,2025-05-20,2025-05-26,343,343,124.51,42706.93,Delivered,No
PO00444,PRD0006,SUP027,WH001,2025-07-08,2025-07-26,,128,0,743.32,95144.96,Cancelled,No
PO00445,PRD0039,SUP008,WH003,2025-10-03,2025-10-07,,174,0,1471.23,255994.02,Pending,No
PO00446,PRD0066,SUP001,WH002,2026-02-15,2026-02-22,2026-03-03,486,486,2272.03,1104206.58,Delivered,No
PO00447,PRD0013,SUP012,WH001,2025-07-01,2025-07-02,2025-07-10,476,476,776.86,369785.36,Delivered,No
PO00448,PRD0060,SUP020,WH003,2025-05-28,2025-06-27,,153,0,1205.03,184369.59,Pending,No
PO00449,PRD0050,SUP010,WH003,2025-06-16,2025-07-01,,256,0,909.75,232896.0,In Transit,No
PO00450,PRD0066,SUP026,WH007,2025-05-30,2025-06-06,,293,0,2272.03,665704.79,Pending,No
PO00451,PRD0076,SUP008,WH008,2025-05-15,2025-05-20,2025-05-22,273,273,1480.66,404220.18,Delivered,No
PO00452,PRD0087,SUP027,WH006,2025-12-20,2026-01-10,,386,0,513.11,198060.46,In Transit,No
PO00453,PRD0040,SUP029,WH007,2026-02-12,2026-02-26,2026-02-26,247,247,1520.0,375440.0,Delivered,Yes
PO00454,PRD0042,SUP029,WH002,2025-03-28,2025-04-17,2025-04-19,228,228,1556.28,354831.84,Delivered,No
PO00455,PRD0050,SUP018,WH001,2025-10-08,2025-10-23,2025-10-21,174,174,909.75,158296.5,Delivered,Yes
PO00456,PRD0095,SUP026,WH007,2025-03-16,2025-03-25,2025-03-25,390,390,16.55,6454.5,Delivered,Yes
PO00457,PRD0025,SUP010,WH004,2026-02-09,2026-02-11,2026-02-15,405,405,996.98,403776.9,Delivered,No
PO00458,PRD0027,SUP020,WH005,2025-07-24,2025-08-07,2025-08-10,220,220,1718.7,378114.0,Delivered,No
PO00459,PRD0015,SUP003,WH006,2025-11-23,2025-12-02,,358,0,2085.39,746569.62,In Transit,No
PO00460,PRD0094,SUP001,WH003,2025-08-20,2025-09-11,,41,0,2127.86,87242.26,In Transit,No
PO00461,PRD0068,SUP026,WH002,2025-12-09,2025-12-29,,465,0,971.53,451761.45,Cancelled,No
PO00462,PRD0015,SUP017,WH007,2025-09-13,2025-09-22,,367,0,2085.39,765338.13,Cancelled,No
PO00463,PRD0076,SUP015,WH007,2025-11-19,2025-11-24,,119,0,1480.66,176198.54,In Transit,No
PO00464,PRD0073,SUP024,WH005,2025-12-12,2025-12-21,2025-12-19,61,61,982.26,59917.86,Delivered,Yes
PO00465,PRD0042,SUP011,WH007,2025-11-28,2025-12-18,,413,0,1556.28,642743.64,Pending,No
PO00466,PRD0058,SUP009,WH004,2025-04-25,2025-04-30,2025-05-08,230,230,1401.08,322248.4,Delivered,No
PO00467,PRD0053,SUP006,WH001,2025-11-20,2025-12-10,,57,0,1661.97,94732.29,Cancelled,No
PO00468,PRD0039,SUP010,WH003,2026-03-08,2026-03-12,2026-03-18,180,180,1471.23,264821.4,Delivered,No
PO00469,PRD0017,SUP012,WH003,2025-05-11,2025-05-26,2025-06-03,122,122,1123.59,137077.98,Delivered,No
